,Unnamed: 0,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
159,159,dog_bed,Average,0,0,0,0,0,0,0,0,0,0
165,165,drawer,Average,0.0358,-0.0246,-0.0166,0.0258,0.0568,0.0114,0.0036,0.0578,0.0378,0.0458
171,171,dresser,Average,0.0198,-0.0396,0.0082,0.0014,0.0924,0.0268,-0.004,0.0766,0.0172,0.0528
173,173,dumbbell,Average,0,0,0,0,0,0,0,0,0,0
179,179,egg,Average,0.0004,-0.0112,-0.0072,0.0118,0.0128,0.0514,0.0376,-0.0126,0.0126,0.0174
185,185,faucet,Average,0.0236,-0.0124,0.046,0.0054,0.049,0.0018,-0.0008,0.0266,0.1316,0.0054
191,191,floor,Average,-0.0454,0.0292,0.0126,0.0146,0.026,-0.0006,-0.0262,-0.001,0.0888,0.0232
193,193,floor_lamp,Average,0,0,0,0,0,0,0,0,0,0
199,199,footstool,Average,-0.0264,0.0444,-0.044,-0.0176,-0.0066,-0.0294,-0.0136,0.0054,0.0372,0.0136
205,205,fork,Average,-0.0098,0.0434,-0.0104,0.0566,0.0278,0.061,0.0184,-0.0132,0.154,0.0276
207,207,fridge,Average,-0.002,0.035,0.006,-0.008,-0.038,0.15,-0.03,0.012,0.066,0.077
209,209,garbage_bag,Average,0.039,0.001,-0.088,-0.017,0.081,-0.034,-0.065,0.059,-0.048,-0.052
210,210,garbage_can,Average,0,0,0,0,0,0,0,0,0,0
211,211,hand_towel,Average,0,0,0,0,0,0,0,0,0,0
213,213,hand_towel_holder,Average,0,0,0,0,0,0,0,0,0,0
215,215,house_plant,Average,0,0,0,0,0,0,0,0,0,0
221,221,kettle,Average,-0.0206,0.0148,0.0488,0.007,0.0378,0.1588,-0.039,0.037,0.0558,-0.0162
227,227,key_chain,Average,-0.0006,0.0144,-0.0026,0.046,0.0768,0.0104,-0.0282,-0.0214,0.1304,0.0286
233,233,knife,Average,-0.0288,0.0454,0.0246,-0.0416,0.0724,0.1172,0.2676,0.0156,-0.0686,0.0224
235,235,ladle,Average,0,0,0,0,0,0,0,0,0,0
237,237,laptop,Average,0,0,0,0,0,0,0,0,0,0
239,239,laundry_hamper,Average,0,0,0,0,0,0,0,0,0,0
241,241,lettuce,Average,-0.048,-0.031,0.049,0.047,0.069,-0.006,-0.052,-0.024,0.312,-0.047
244,244,light_switch,Average,0.2115,0.0025,0.0215,-0.009,0.0555,0.05,0.0235,0.0615,0.25,-0.011
248,248,microwave,Average,-0.040333333,-0.006333333,0.025333333,0.021333333,0.057,0.235666667,-0.009,0.010333333,0.063,-0.009
254,254,mirror,Average,-0.0436,-0.02,0.0222,0.0282,-0.0054,-0.0614,0.0236,-0.025,0.0614,-0.0156
260,260,mug,Average,0.0178,0.034,-0.0036,-0.0076,0.047,-0.0282,-0.0052,-0.0036,0.0314,0.0154
263,263,newspaper,Average,0.0105,0.0085,0.0335,-0.041,0.02,-0.014,0.005,0.0135,-0.011,0.007
269,269,ottoman,Average,-0.026,0.0212,0.0214,0.002,0.0518,-0.017,-0.0086,-0.0014,0.0622,0.0426
275,275,painting,Average,-0.0102,0.0232,0.0144,0.0154,0.0084,0.011,-0.0106,0.0034,-0.0544,-0.0222
281,281,pan,Average,-0.0356,0.018,0.0198,0.0218,0.0338,0.5426,0.1112,0.017,-0.028,-0.047
283,283,paper_towel_roll,Average,0,0,0,0,0,0,0,0,0,0
289,289,pen,Average,-0.0902,0.0354,0.0068,0.0396,0.0138,0.0324,0.004,-0.0412,-0.0304,0.0178
295,295,pencil,Average,-0.0522,0.0512,0.018,0.0514,0.0098,0.0288,-0.0118,-0.0488,-0.0248,0.0442
297,297,pepper_shaker,Average,0,0,0,0,0,0,0,0,0,0
300,300,pillow,Average,-0.006,-0.0235,0.0035,-0.005,0.028,0.0165,-0.034,-0.0155,0.142,0.0065
306,306,plate,Average,0.0232,0.0118,-0.0132,0.0386,0.0654,0.022,0.0184,0.0018,0.1504,0.0352
308,308,plunger,Average,0,0,0,0,0,0,0,0,0,0
310,310,poster,Average,-0.002,0.077,0.102,-0.011,-0.003,0.097,-0.041,-0.026,-0.054,0.024
316,316,pot,Average,0.004,-0.047,0.0042,0.026,0.0696,0.0046,-0.0138,0.003,0.064,0.02
319,319,potato,Average,0.0465,-0.008,-0.002,0.0035,0.025,0.059,0.0005,-0.0685,0.0585,-0.039
325,325,remote_control,Average,0.1752,0.0134,0.02,0.0126,0.102,0.0478,-0.0438,0.0882,0.0624,0.061
327,327,room_decor,Average,0,0,0,0,0,0,0,0,0,0
329,329,safe,Average,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
335,335,salt_shaker,Average,-0.0108,-0.0346,0.0162,-0.0142,0.0682,0.0194,0.019,0.0074,0.0206,-0.0278
337,337,scrub_brush,Average,0,0,0,0,0,0,0,0,0,0
343,343,shelf,Average,0.0562,-0.0278,0.0224,-0.01,0.085,0.0214,0.0054,0.0784,0.0132,0.0792
345,345,shelving_unit,Average,0,0,0,0,0,0,0,0,0,0
351,351,shower_curtain,Average,0.0164,-0.001,0.0204,0.0192,0.038,0.007,-0.0046,0.0676,0.0532,0.005
357,357,shower_door,Average,-0.0122,0.0144,-0.0174,-0.0276,0.0954,-0.0162,-0.027,0.0132,0.0578,-0.0014
359,359,shower_glass,Average,0,0,0,0,0,0,0,0,0,0
365,365,shower_head,Average,0.0796,0.0004,0.0392,0.075,0.0908,0.0936,-0.0048,0.0218,0.1052,0.0264
367,367,side_table,Average,0,0,0,0,0,0,0,0,0,0
373,373,sink,Average,0.012,-0.0318,0.0624,0.1232,0.0338,0.0184,0.0134,-0.0278,0.0758,-0.0164
375,375,sink_basin,Average,0,0,0,0,0,0,0,0,0,0
377,377,soap_bar,Average,0,0,0,0,0,0,0,0,0,0
379,379,soap_bottle,Average,0,0,0,0,0,0,0,0,0,0
385,385,sofa,Average,-0.0208,0.052,-0.0402,-0.0098,-0.008,0.0322,0.0204,0.0048,-0.0126,0.0352
387,387,spatula,Average,0.025,0.06,-0.067,0.027,0.002,0.041,0.017,0,0.03,0.046
393,393,spoon,Average,-0.0156,0.0398,0.0028,-0.0008,0.0286,0.0376,0.0266,0.0024,0.0764,0.0398
395,395,spray_bottle,Average,0,0,0,0,0,0,0,0,0,0
401,401,statue,Average,0.039,-0.0146,0.0024,0.0158,-0.019,-0.0182,0.0256,-0.0134,0.018,0.0022
407,407,stool,Average,-0.0052,0.0458,-0.0098,-0.005,0.0074,-0.0166,-0.04,0.016,0.018,0.0306
409,409,stove_burner,Average,0,0,0,0,0,0,0,0,0,0
411,411,stove_knob,Average,0,0,0,0,0,0,0,0,0,0
413,413,table_top_decor,Average,0,0,0,0,0,0,0,0,0,0
415,415,target_circle,Average,0,0,0,0,0,0,0,0,0,0
417,417,teddy_bear,Average,0.019,0.027,-0.091,-0.016,-0.056,0.02,-0.076,-0.032,-0.02,0.023
423,423,television,Average,-0.0466,0.0294,0.0132,0.0016,-0.0102,0.0394,-0.004,-0.0192,0.0126,0.0418
425,425,tennis_racket,Average,0,0,0,0,0,0,0,0,0,0
427,427,tissue_box,Average,0,0,0,0,0,0,0,0,0,0
430,430,toaster,Average,-0.018,0.016,0.0275,0.0275,0.065,0.066,0.0405,-0.0175,0.0775,-0.0025
436,436,toilet,Average,-0.0002,-0.0176,-0.009,0.119,0.0302,0.0056,-0.0138,-0.003,0.0798,0.0112
442,442,toilet_paper,Average,-0.0202,0.0876,0.0032,0.0736,-0.0066,0.0214,0.0078,-0.0024,0.1144,-0.0584
444,444,toilet_paper_hanger,Average,0,0,0,0,0,0,0,0,0,0
446,446,tomato,Average,0,0,0,0,0,0,0,0,0,0
452,452,towel,Average,-0.0456,0.0196,0.0394,0.1346,0.0354,0.0786,-0.0186,-0.018,0.1038,-0.0286
454,454,towel_holder,Average,0,0,0,0,0,0,0,0,0,0
456,456,tv_stand,Average,0,0,0,0,0,0,0,0,0,0
459,459,vacuum_cleaner,Average,-0.049,0.0285,0.13,0.073,0.0195,-0.008,-0.052,-0.013,0.074,0.0345
461,461,vase,Average,0,0,0,0,0,0,0,0,0,0
467,467,watch,Average,-0.0216,0.0368,0.0094,0.0332,0.0916,0.0232,0.0204,-0.0426,0.0852,-0.0244
469,469,watering_can,Average,0,0,0,0,0,0,0,0,0,0
475,475,window,Average,-0.0534,0.0282,0.0334,-0.0058,0.0492,0.041,-0.0074,0.0576,0.1486,0.0124
477,477,wine_bottle,Average,0,0,0,0,0,0,0,0,0,0
5,5,person,Average,0.0508,0.0046,0.0234,0.0308,0.1142,0.0716,0.021,0.0634,0.0714,0.0188
11,11,bicycle,Average,-0.0154,0.0288,-0.0398,0.0424,0.0104,0.0222,0.0132,-0.0054,0.0704,0.035
17,17,car,Average,0.0124,0.0326,-0.029,-0.0004,0.037,0.053,0.0024,0.0102,0.1934,0.0956
21,21,motorcycle,Average,-0.017,0.039333333,-0.045,0.059666667,0,0.045333333,0.023333333,-0.010333333,0.116333333,0.074
27,27,airplane,Average,-0.006,0.014,-0.0682,0.0338,0.0238,0.0606,0.039,-0.0032,0.0458,0.0736
33,33,bus,Average,-0.2102,0.0218,-0.0682,0.0544,0.0604,0.0782,0.0532,-0.0168,0.1248,0.1328
35,35,train,Average,-0.026,0.026,-0.064,0.033,0.052,-0.025,-0.004,0.004,0.003,-0.047
37,37,truck,Average,-0.035,0.041,-0.047,0.075,-0.022,-0.006,-0.007,-0.047,0.257,0.089
43,43,boat,Average,-0.003,0.0524,0.0314,-0.0016,0.0516,0.0612,0.0184,-0.0202,0.0282,0.0176
45,45,traffic_light,Average,0,0,0,0,0,0,0,0,0,0
47,47,fire_hydrant,Average,0,0,0,0,0,0,0,0,0,0
50,50,stop_sign,Average,0.0335,0.0505,0.0475,-0.0175,-0.004,-0.0805,0.037,0.0155,0.0405,-0.025
52,52,parking_meter,Average,0,0,0,0,0,0,0,0,0,0
58,58,bench,Average,-0.01,0.0194,-0.0088,0.0204,0.1146,-0.0218,0.007,0.0032,0.005,0.0304
64,64,bird,Average,-0.0482,0.0318,0.0246,-0.0158,0.0262,0.0542,0.0002,-0.0044,0.0296,-0.0008
70,70,cat,Average,0.0092,-0.0064,0.0076,-0.019,0.0266,-0.0068,-0.0236,0.0008,0.0396,0.0278
76,76,dog,Average,-0.0298,0.0164,0.0206,0.0056,0.0204,0.0076,-0.0506,0.0028,0.061,0.0034
82,82,horse,Average,0.014,0.0724,-0.02,-0.0028,0.0262,-0.0028,0.0072,0.0334,0.0236,0.0148
84,84,sheep,Average,0.006,0.122,-0.011,0.005,0.004,-0.006,0.089,-0.028,-0.014,0.014
87,87,cow,Average,0.017,0.0325,0.012,-0.035,0.0135,-0.066,-0.066,-0.0435,-0.034,0.014
89,89,elephant,Average,0,0,0,0,0,0,0,0,0,0
91,91,bear,Average,0,0,0,0,0,0,0,0,0,0
93,93,zebra,Average,0,0,0,0,0,0,0,0,0,0
95,95,giraffe,Average,0,0,0,0,0,0,0,0,0,0
97,97,backpack,Average,0,0,0,0,0,0,0,0,0,0
103,103,umbrella,Average,-0.0534,0.0544,0.0106,0.024,0.084,0.0164,-0.057,-0.013,0.0862,-0.005
109,109,handbag,Average,-0.0346,-6.94E-19,-0.0648,0.0116,0.0226,0.0254,0.0058,-0.0012,0.1968,0.0196
111,111,tie,Average,0,0,0,0,0,0,0,0,0,0
117,117,suitcase,Average,-0.0472,0.021,0.003,-0.0326,0.0076,0.0332,-0.006,-0.0032,0.0608,0.0344
123,123,frisbee,Average,-0.004,0.0086,-0.0104,0.0118,0.0122,-0.004,-0.0064,-0.0028,0.0508,-0.0044
125,125,skis,Average,0,0,0,0,0,0,0,0,0,0
127,127,snowboard,Average,0,0,0,0,0,0,0,0,0,0
133,133,sports_ball,Average,0.0052,0.0302,-0.0126,0.052,0.0162,-0.0248,-0.006,0.0368,0.0542,0.0102
139,139,kite,Average,0.02,-0.0014,-0.011,-0.0194,0.0262,0.04,0.0092,0.0446,0.0402,0.0164
141,141,baseball_glove,Average,0,0,0,0,0,0,0,0,0,0
143,143,skateboard,Average,-0.086,0.027,0.061,0.099,-0.001,-0.06,-0.048,0.021,0.133,0.019
145,145,surfboard,Average,0,0,0,0,0,0,0,0,0,0
147,147,wine_glass,Average,0,0,0,0,0,0,0,0,0,0
149,149,banana,Average,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
151,151,sandwich,Average,0,0,0,0,0,0,0,0,0,0
153,153,orange,Average,0.035,0.102,-0.004,-0.053,0.095,0.058,-0.014,0.019,-0.055,-0.003
155,155,broccoli,Average,0,0,0,0,0,0,0,0,0,0
157,157,carrot,Average,0,0,0,0,0,0,0,0,0,0
159,159,hot_dog,Average,0,0,0,0,0,0,0,0,0,0
161,161,pizza,Average,0,0,0,0,0,0,0,0,0,0
163,163,donut,Average,0,0,0,0,0,0,0,0,0,0
169,169,cake,Average,-0.0108,0.0404,-0.0074,0.0048,-0.0334,0.0642,0.054,0.023,0.0168,0.0232
170,170,couch,Average,0,0,0,0,0,0,0,0,0,0
177,177,potted_plant,Average,0,0,0,0,0,0,0,0,0,0
183,183,mouse,Average,0.1048,0.034,-0.0032,-0.0046,0.132,0.1046,0.0122,0.046,0.0194,0.1884
189,189,keyboard,Average,0.0326,0.0326,0.0142,0.0098,0.0318,-0.031,-0.0084,0.0476,0.0096,0.0216
195,195,oven,Average,-0.0474,0.0276,0.0414,0.0002,0.014,0.5382,0.1314,0.023,0.0064,-0.0414
201,201,clock,Average,0.0156,0.0134,0.032,0.0488,0.0688,0.0528,0.0406,0.0054,0.0598,-0.0086
207,207,scissors,Average,0.0186,0.0966,-0.0122,-0.0204,0.0056,-0.0096,0.158,0.0314,0.095,0.0102
209,209,hair_drier,Average,0,0,0,0,0,0,0,0,0,0
211,211,tooth_brush,Average,-0.071,0.04,-0.027,0.23,0.048,0.134,-0.003,-0.038,0.197,-0.032
